Title,Author,Year,Citation.count,Open.access,DOI,Abstract,doi_n,Source
chinese yellow dust and korean infant health,Duha T. Altindag|Deokrye Baek|Naci Mocan,2017,53,NOT Open Access,https://doi.org/10.1016/j.socscimed.2017.05.031,,10.1016/j.socscimed.2017.05.031,B26
investor base and corporate borrowing evidence from international bonds,Massimo Massa|Alminas Žaldokas,2013,20,NOT Open Access,https://doi.org/10.1016/j.jinteco.2013.11.002,,10.1016/j.jinteco.2013.11.002,B26
estimation of models with grouped and ungrouped data by means of 2sls,Phoebus J. Dhrymes|Adriana Lleras‐Muney,2005,15,Open Access,https://doi.org/10.1016/j.jeconom.2005.03.007,,10.1016/j.jeconom.2005.03.007,B26
travel and the built environment,Reid Ewing|Robert Cervero,2010,5277,NOT Open Access,https://doi.org/10.1080/01944361003766766,,10.1080/01944361003766766,B27
the spatial economy cities regions and international trade,Thomas J. Holmes|Masahisa Fujita|Paúl Krugman|Anthony J. Venables,2000,5121,NOT Open Access,https://doi.org/10.2307/1061487,,10.2307/1061487,B27
travel demand and the 3ds density diversity and design,Robert Cervero|Kara M. Kockelman,1997,4521,NOT Open Access,https://doi.org/10.1016/s1361-9209(97)00009-6,,10.1016/s1361-9209(97)00009-6,B27
chapter 49 evidence on the nature and sources of agglomeration economies,Stuart S. Rosenthal|William C. Strange,2004,2249,NOT Open Access,https://doi.org/10.1016/s1574-0080(04)80006-3,,10.1016/s1574-0080(04)80006-3,B27
chapter 48 micro foundations of urban agglomeration economies,Gilles Duranton|Diego Puga,2004,1353,NOT Open Access,https://doi.org/10.1016/s1574-0080(04)80005-1,,10.1016/s1574-0080(04)80005-1,B27
spatial wage disparities sorting matters,Pierre‐Philippe Combes|Gilles Duranton|Laurent Gobillon,2007,1125,NOT Open Access,https://doi.org/10.1016/j.jue.2007.04.004,,10.1016/j.jue.2007.04.004,B27
cities and skills,Edward L. Glaeser|David C. Maré,2001,1113,NOT Open Access,https://doi.org/10.1086/319563,,10.1086/319563,B27
the market as a factor in the localization of industry in the united states,Chauncy D. Harris,1954,1006,NOT Open Access,https://doi.org/10.1080/00045605409352140,,10.1080/00045605409352140,B27
agglomeration effects in europe,Antonio Ciccone,2002,989,NOT Open Access,https://doi.org/10.1016/s0014-2921(00)00099-4,,10.1016/s0014-2921(00)00099-4,B27
urban growth and transportation,Gilles Duranton|Matthew A. Turner,2012,946,NOT Open Access,https://doi.org/10.1093/restud/rds010,,10.1093/restud/rds010,B27
the magnitude and causes of agglomeration economies,Diego Puga,2010,924,NOT Open Access,https://doi.org/10.1111/j.1467-9787.2009.00657.x,,10.1111/j.1467-9787.2009.00657.x,B27
